"ID","title","description","date","creator","ts_key","collection","timestamp","relation","subject","reference"
87,"Women's Basketball vs. Oregon","Women's Basketball vs. University of Oregon at Boise.","1993-01-03","Boise State University","Ip0a","Athletics",12/20/2017 12:42:19,"Women's Basketball","sports","RG 30.8 Women's Basketball, 930103"
88,"Gymnastics Highlights","Gymnastics highlights, mostly Gretchen Strokes and Shawna Thompson, highlights.","1994","Boise State University","WuEo","Athletics",12/19/2017 15:18:16,"Gymnastics","sports","RG 30.8 Gymnastics 94High"
89,"Gymnastics vs. Washington","Gymnastics meet vs. University of Washington at Boise.","1990-02-24","Boise State University","O4af","Athletics",12/19/2017 15:18:27,"Gymnastics","sports","RG 30.8 Gymnastics 900224"
90,"Volleyball vs. University of Washington","Boise State University Volleyball vs. University of Washington at Sun Valley, Idaho.","1986-09-11","Boise State University","Jxix","Athletics",12/19/2017 15:21:22,"Volleyball","sports","RG 30.8 Volleyball, 860911"
91,"Volleyball vs. Northern Arizona University","Boise State University Volleyball vs. Northern Arizona University at Boise, Idaho.","1988-11-12","KTVB","ixQV","Athletics",12/19/2017 15:21:37,"Volleyball","sports","RG 30.8 Volleyball, 881112"
92,"Volleyball vs. Idaho State University","Boise State University Volleyball vs. Idaho State University at Boise, Idaho. Big Sky Conference Championship.","1988-11-18","Boise State University","ZhUz","Athletics",12/19/2017 15:21:56,"Volleyball","sports","RG 30.8 Volleyball, 881112"
93,"Volleyball vs. Weber State University","Boise State University Volleyball vs. Weber State University at Boise, Idaho.","1988-11-19","Boise State University","o3cU","Athletics",12/20/2017 11:16:17,"Volleyball","sports","RG 30.8, Volleyball, 881119"
94,"Volleyball tournament","Boise State University Volleyball at a tournament with Loyola Marymount, Wyoming, and Oregon.","1989-11-17","Boise State University","TpRX","Athletics",12/20/2017 11:16:24,"Volleyball","sports","RG 30.8, Volleyball, 881117"
95,"Volleyball vs. Wisconsin","Boise State University Volleyball vs. Wisconsin.","1989-12-02","Channel America","hfY2","Athletics",12/20/2017 11:16:39,"Volleyball","sports","RG 30.8, Volleyball, 881202"
96,"Dialogue with Dr. Ruch","Boise State University President Dr. Charles Ruch recounts his tenure on Idaho Public Television's Dialogue","2003","Idaho Public Television","uUsf","Archives Media",12/5/2017 13:18:16,"University President","leadership; planning","RG 8, Box 14, 3204"
97,"Viewpoint: Dr. Robert Kustra on KTVB","Boise State University President Dr. Kustra interviewed by Dee Sarton on the State of the University Address topics.","2004-08-29","KTVB","fudF","Archives Media",12/5/2017 13:42:02,"University President","leadership; planning","RG 8, Box 14, 3255"
98,"Newsmakers: Dr. Robert Kustra on KIVI","Boise State University President Dr. Kustra interview by Don Nelson on the State of the University Address topics.","2004-10-03","KIVI","Snft","Archives Media",12/5/2017 13:20:47,"University President","leadership; planning","RG 8, Box 14, 3248"
99,"News coverage of modern dorms","Television coverage of modern dorms named in honor of Dr. Keiser and David Taylor.","2004-09-24","KTVB; KIVI; KBCI","My7s","Archives Media",12/20/2017 12:46:08,"University President","housing developments","RG 8, Box 14, 3254"
100,"Dr. John Habib, Frank Church Conference on Public Affairs","Frank Church Conference on Public Affairs introduction by Bethine Church, welcome by Mayor David Bieter, and keynote by Dr. John Habib","2005-11-03","University Television Productions","8YYW","Archives Media",12/5/2017 13:23:46,"Frank Church Institute","international relations","RG 8, Box 16, 3804"
101,"Exploring BSU: Snake: The Plain and Its People","Charles Ruch interviews Todd Shallat and Steve Stuebner about their book, Snake: The Plain and Its People","1995","University Television Productions","TAQ2","University Television Productions",12/20/2017 11:19:40,"History","environment; research","RG 58, Box 2, UTP, UTP00000929"
102,"1992 UTP Programming 199210","Backwaters of the Boise River Festival with Jim Stoner; One Night Stand Student Stand-up Comedy; Barnwell's with Tom Trusky, Charles Fee and Idaho Shakespeare Festival, and Art in the Park. Michael Hoffman advertisement. Student Programs Board.","1992","University Television Productions","ToO8","University Television Productions",12/20/2017 11:20:34,"English","performing arts; recreation","RG 58, Box 18, UTP19921000"
103,"1994 UTP Programming 19940000A","Contains UTP19930405. Exploring BSU with Charles Ruch and guests John Franden, Peter Lutze, and Jim Stoner discuss University Television Productions (0:00); Bronco Stampede with Tom Scott (29:00); Focus on Boise State with John Franden and guest Tom Trusky (1:00:00); Boise State University Community Orchestra (1:37:00); Public Agenda with Jim Weatherby (2:00:00); Debate: Andrus' Tax Plan (2:32:00)","1994","University Television Productions","lAYM","University Television Productions",12/20/2017 11:23:34,"University President","research","RG 58, Box 19, UTP19940000A"
104,"1994 UTP Programming 19940324","TV Tone News; Inauguration of Charles Ruch as president of Boise State (02:18); Video Casserole; Voices for Censorship Awareness with Tom Trusky (14:25); Culinary Arts (20:59); Charles Ruch and Pokey Allen advertisement to promote bus system (31:49); Exploring BSU with Charles Ruch and guests Wallace Kay, Penny Seibert, and Russell Tremayne discuss team teaching (32:22)","1994-03-24","University Television Productions","Os5f","University Television Productions",12/20/2017 11:21:58,"University President","leadership","RG 58, Box 19, UTP19940324"
105,"Charting the Course: Strategic Planning","Boise State University Provost Dr. Sona Andrews presents the strategic plan ""Charting the Course."" Topics include the mission ""Metropolitan Research University of Distinction"" and the establishment of a community college (College of Western Idaho).","2005-05-02","University Television Productions","icG4","University Television Productions",12/20/2017 11:25:17,"Office of the Provost","planning","RG 58, Box 40, UTP20050502"
